Provider,PotentialFraud,IP_TotalClaimAmt,IP_AvgClaimAmt,IP_MedianClaimAmt,IP_StdClaimAmt,IP_ClaimCount,IP_TotalDeductible,IP_AvgDeductible,IP_AvgLOS,IP_MedianLOS,IP_TotalLOS,IP_UniqueAttendingPhys,IP_UniqueOperatingPhys,IP_UniqueOtherPhys,OP_TotalClaimAmt,OP_AvgClaimAmt,OP_MedianClaimAmt,OP_StdClaimAmt,OP_ClaimCount,OP_TotalDeductible,OP_AvgDeductible,OP_UniqueAttendingPhys,OP_UniqueOperatingPhys,OP_UniqueOtherPhys,TotalClaimAmt,TotalClaimCount,AvgClaimAmt,IP_OP_Ratio_Claims,IP_OP_Ratio_Amount,UniquePatients,AvgPatientAge,MedianPatientAge,StdPatientAge,PctMale,UniqueStates,UniqueCounties,PctAlzheimer,PctHeartfailure,PctKidneyDisease,PctCancer,PctDiabetes,AvgIPAnnualReimb,AvgOPAnnualReimb
PRV51001,0,97000.0,19400.0,12000.0,18352.11159512714,5.0,5340.0,1068.0,5.0,4.0,25.0,4.0,2.0,1.0,7640.0,382.0,150.0,422.817616522899,20.0,0.0,0.0,10.0,3.0,7.0,104640.0,25.0,4185.6,0.23809523809523808,12.69467347205863,24,78.66974674880218,78.04243668720055,12.189902417386111,0.375,1,7,0.5833333333333334,0.75,0.7083333333333334,0.20833333333333334,0.8333333333333334,18047.916666666668,2537.5
PRV51003,1,573000.0,9241.935483870968,7000.0,8513.606243799273,62.0,66216.0,1068.0,5.161290322580645,4.0,320.0,2.0,2.0,0.0,32670.0,466.7142857142857,90.0,821.3645793779573,70.0,70.0,1.0,44.0,5.0,22.0,605670.0,132.0,4588.409090909091,0.8732394366197183,17.538489792170427,117,69.47366573649941,71.66872005475702,13.265544708096167,0.4188034188034188,3,23,0.37606837606837606,0.5982905982905983,0.4444444444444444,0.08547008547008547,0.7435897435897436,6814.017094017094,2490.5982905982905
PRV51004,0,0.0,9484.693084693085,7000.0,7937.253933193771,0.0,0.0,1068.0,5.333333333333333,4.0,0.0,0.0,0.0,0.0,52170.0,350.13422818791946,70.0,689.9637540197714,149.0,310.0,2.0805369127516777,38.0,19.0,26.0,52170.0,149.0,350.13422818791946,0.0,0.0,138,72.94608616294181,73.75085557837099,12.909559295238076,0.32608695652173914,9,28,0.43478260869565216,0.5942028985507246,0.34057971014492755,0.11594202898550725,0.6956521739130435,4596.739130434783,2095.144927536232
PRV51005,1,0.0,9484.693084693085,7000.0,7937.253933193771,0.0,0.0,1068.0,5.333333333333333,4.0,0.0,0.0,0.0,0.0,280910.0,241.1244635193133,70.0,491.556391867259,1165.0,3700.0,3.1759656652360513,6.0,6.0,4.0,280910.0,1165.0,241.1244635193133,0.0,0.0,495,70.51753952944918,71.33196440793976,13.608517610074568,0.4202020202020202,4,26,0.3333333333333333,0.5313131313131313,0.3595959595959596,0.1191919191919192,0.6343434343434343,3717.2323232323233,1798.8080808080808
PRV51007,0,19000.0,6333.333333333333,6000.0,3511.884584284246,3.0,3204.0,1068.0,5.333333333333333,5.0,16.0,2.0,1.0,0.0,14710.0,213.18840579710144,70.0,447.2316571506486,69.0,60.0,0.8695652173913043,8.0,4.0,7.0,33710.0,72.0,468.19444444444446,0.04285714285714286,1.2915505404119367,58,68.48658217092685,70.49828884325805,14.509705315694022,0.46551724137931033,2,6,0.3620689655172414,0.5172413793103449,0.29310344827586204,0.10344827586206896,0.6206896551724138,3109.655172413793,1497.2413793103449
PRV51008,0,25000.0,12500.0,12500.0,12020.815280171308,2.0,2136.0,1068.0,4.0,4.0,8.0,2.0,2.0,0.0,10630.0,259.2682926829268,90.0,404.0383041488916,41.0,180.0,4.390243902439025,8.0,3.0,5.0,35630.0,43.0,828.6046511627907,0.047619047619047616,2.351613206659769,36,75.24229979466119,75.50034223134838,12.583752262495848,0.4444444444444444,2,9,0.3888888888888889,0.5833333333333334,0.3611111111111111,0.2222222222222222,0.6944444444444444,7235.0,2624.722222222222
PRV51011,0,5000.0,5000.0,5000.0,7937.253933193771,1.0,1068.0,1068.0,5.0,5.0,5.0,1.0,0.0,0.0,11630.0,204.03508771929825,70.0,310.7873621322992,57.0,300.0,5.2631578947368425,27.0,10.0,15.0,16630.0,58.0,286.7241379310345,0.017241379310344827,0.42988565041698906,53,73.7148760864231,73.83436002737851,13.505144682676075,0.4528301886792453,1,9,0.4339622641509434,0.6415094339622641,0.41509433962264153,0.07547169811320754,0.6981132075471698,3774.3396226415093,1434.1509433962265
PRV51012,0,0.0,9484.693084693085,7000.0,7937.253933193771,0.0,0.0,1068.0,5.333333333333333,4.0,0.0,0.0,0.0,0.0,16890.0,351.875,60.0,707.8936578689371,48.0,100.0,2.0833333333333335,14.0,3.0,13.0,16890.0,48.0,351.875,0.0,0.0,31,76.0964430019209,73.91375770020534,11.253673183436746,0.25806451612903225,3,6,0.3225806451612903,0.5483870967741935,0.41935483870967744,0.0967741935483871,0.6129032258064516,4785.4838709677415,2440.3225806451615
PRV51013,0,0.0,9484.693084693085,7000.0,7937.253933193771,0.0,0.0,1068.0,5.333333333333333,4.0,0.0,0.0,0.0,0.0,14880.0,323.4782608695652,90.0,471.622341339171,46.0,230.0,5.0,9.0,5.0,4.0,14880.0,46.0,323.4782608695652,0.0,0.0,44,74.56381059050464,75.00068446269678,13.106759453192831,0.2727272727272727,2,8,0.3409090909090909,0.5681818181818182,0.38636363636363635,0.09090909090909091,0.8181818181818182,3800.909090909091,3260.2272727272725
PRV51014,0,0.0,9484.693084693085,7000.0,7937.253933193771,0.0,0.0,1068.0,5.333333333333333,4.0,0.0,0.0,0.0,0.0,10480.0,349.3333333333333,80.0,822.984196996362,30.0,120.0,4.0,7.0,6.0,8.0,10480.0,30.0,349.3333333333333,0.0,0.0,25,72.35624914442162,74.5845311430527,14.636072574440753,0.28,2,6,0.44,0.52,0.48,0.08,0.6,2703.6,1667.2
